filename,mos,noise_mean,noise_std,blur_mean,blur_std,overexposure_mean,overexposure_std,lowlight_mean,lowlight_std,warp_mean,warp_std,stain_mean,stain_std,occlusion_mean,occlusion_std
21_25_04.bmp,2.0,0.055555556,0.23570226,0.111111111,0.323380833,0.0,0.0,0.055555556,0.23570226,0.0,0.0,0.0,0.0,0.833333333,0.383482494
0653.jpg,3.055555555555556,0.0,0.0,0.388888889,0.501631326,0.0,0.0,0.055555556,0.23570226,0.055555556,0.23570226,0.111111111,0.323380833,0.777777778,0.427792632
07_20_01.bmp,2.611111111111111,0.611111111,0.501631326,0.444444444,0.511309993,0.111111111,0.323380833,0.0,0.0,0.111111111,0.323380833,0.055555556,0.23570226,0.055555556,0.23570226
35_05_04.bmp,1.5555555555555556,0.388888889,0.501631326,0.777777778,0.427792632,0.111111111,0.323380833,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111,0.323380833
01192.jpg,3.2222222222222223,0.333333333,0.48507125,0.222222222,0.427792632,0.0,0.0,0.0,0.0,0.222222222,0.427792632,0.055555556,0.23570226,0.833333333,0.383482494
20_16_05.bmp,1.5,0.111111111,0.323380833,0.888888889,0.323380833,0.055555556,0.23570226,0.0,0.0,0.055555556,0.23570226,0.055555556,0.23570226,0.0,0.0
11_09_01.bmp,3.055555555555556,0.555555556,0.511309993,0.333333333,0.48507125,0.0,0.0,0.111111111,0.323380833,0.277777778,0.460888599,0.055555556,0.23570226,0.0,0.0
01179.jpg,3.6666666666666665,0.277777778,0.460888599,0.5,0.514495755,0.055555556,0.23570226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_09_05.bmp,2.055555555555556,0.888888889,0.323380833,0.388888889,0.501631326,0.0,0.0,0.0,0.0,0.388888889,0.501631326,0.111111111,0.323380833,0.055555556,0.23570226
0211.jpg,2.333333333333333,0.166666667,0.383482494,0.388888889,0.501631326,0.055555556,0.23570226,0.722222222,0.460888599,0.222222222,0.427792632,0.111111111,0.323380833,0.0,0.0
37_03_03.bmp,2.9444444444444446,0.111111111,0.323380833,0.666666667,0.48507125,0.0,0.0,0.055555556,0.23570226,0.055555556,0.23570226,0.111111111,0.323380833,0.0,0.0
19_03_04.bmp,2.1666666666666665,0.055555556,0.23570226,0.777777778,0.427792632,0.0,0.0,0.055555556,0.23570226,0.055555556,0.23570226,0.111111111,0.323380833,0.0,0.0
07_15_03.bmp,3.055555555555556,0.166666667,0.383482494,0.388888889,0.501631326,0.166666667,0.383482494,0.055555556,0.23570226,0.111111111,0.323380833,0.055555556,0.23570226,0.055555556,0.23570226
02_22_04.bmp,1.8888888888888888,0.444444444,0.511309993,0.777777778,0.427792632,0.0,0.0,0.055555556,0.23570226,0.333333333,0.48507125,0.111111111,0.323380833,0.0,0.0
30_17_03.bmp,2.388888888888889,0.166666667,0.383482494,0.444444444,0.511309993,0.0,0.0,0.055555556,0.23570226,0.444444444,0.511309993,0.111111111,0.323380833,0.166666667,0.383482494
0960.jpg,3.111111111111111,0.055555556,0.23570226,0.388888889,0.501631326,0.0,0.0,0.666666667,0.48507125,0.055555556,0.23570226,0.055555556,0.23570226,0.0,0.0
03_09_01.bmp,3.0,0.611111111,0.501631326,0.277777778,0.460888599,0.055555556,0.23570226,0.055555556,0.23570226,0.111111111,0.323380833,0.0,0.0,0.055555556,0.23570226
06_16_05.bmp,1.5555555555555556,0.333333333,0.48507125,0.666666667,0.48507125,0.0,0.0,0.055555556,0.23570226,0.0,0.0,0.111111111,0.323380833,0.0,0.0
29_23_02.bmp,2.7777777777777777,0.111111111,0.323380833,0.222222222,0.427792632,0.055555556,0.23570226,0.722222222,0.460888599,0.055555556,0.23570226,0.166666667,0.383482494,0.111111111,0.323380833
0715.jpg,3.555555555555556,0.055555556,0.23570226,0.333333333,0.48507125,0.0,0.0,0.055555556,0.23570226,0.277777778,0.460888599,0.111111111,0.323380833,0.055555556,0.23570226
09_09_03.bmp,2.7222222222222223,0.722222222,0.460888599,0.388888889,0.501631326,0.055555556,0.23570226,0.0,0.0,0.222222222,0.427792632,0.055555556,0.23570226,0.0,0.0
35_13_02.bmp,2.7222222222222223,0.111111111,0.323380833,0.444444444,0.511309993,0.388888889,0.501631326,0.0,0.0,0.055555556,0.23570226,0.0,0.0,0.111111111,0.323380833
12_17_01.bmp,3.333333333333333,0.277777778,0.460888599,0.333333333,0.48507125,0.055555556,0.23570226,0.0,0.0,0.166666667,0.383482494,0.0,0.0,0.166666667,0.383482494
34_18_02.bmp,2.111111111111111,0.111111111,0.323380833,0.888888889,0.323380833,0.166666667,0.383482494,0.0,0.0,0.055555556,0.23570226,0.055555556,0.23570226,0.055555556,0.23570226
12_01_02.bmp,3.7222222222222223,0.111111111,0.323380833,0.222222222,0.427792632,0.222222222,0.427792632,0.0,0.0,0.111111111,0.323380833,0.055555556,0.23570226,0.055555556,0.23570226
01279.jpg,3.0,0.0,0.0,0.611111111,0.501631326,0.0,0.0,0.055555556,0.23570226,0.388888889,0.501631326,0.444444444,0.511309993,0.222222222,0.427792632
12_06_03.bmp,2.611111111111111,0.333333333,0.48507125,0.166666667,0.383482494,0.277777778,0.460888599,0.0,0.0,0.0,0.0,0.166666667,0.383482494,0.055555556,0.23570226
32_08_04.bmp,2.1666666666666665,0.166666667,0.383482494,0.666666667,0.48507125,0.055555556,0.23570226,0.111111111,0.323380833,0.444444444,0.511309993,0.111111111,0.323380833,0.055555556,0.23570226
01_19_02.bmp,3.2777777777777777,0.111111111,0.323380833,0.666666667,0.48507125,0.166666667,0.383482494,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,0.23570226
0874.jpg,3.611111111111111,0.055555556,0.23570226,0.444444444,0.511309993,0.055555556,0.23570226,0.0,0.0,0.111111111,0.323380833,0.055555556,0.23570226,0.0,0.0
12_22_01.bmp,3.2222222222222223,0.166666667,0.383482494,0.444444444,0.511309993,0.222222222,0.427792632,0.111111111,0.323380833,0.0,0.0,0.0,0.0,0.055555556,0.23570226
36_08_04.bmp,2.388888888888889,0.111111111,0.323380833,0.666666667,0.48507125,0.055555556,0.23570226,0.0,0.0,0.0,0.0,0.055555556,0.23570226,0.055555556,0.23570226
0079.jpg,2.2222222222222223,0.055555556,0.23570226,0.555555556,0.511309993,0.777777778,0.427792632,0.0,0.0,0.055555556,0.23570226,0.055555556,0.23570226,0.166666667,0.383482494
34_17_04.bmp,2.333333333333333,0.111111111,0.323380833,0.555555556,0.511309993,0.166666667,0.383482494,0.0,0.0,0.111111111,0.323380833,0.166666667,0.383482494,0.222222222,0.427792632
08_10_02.bmp,3.611111111111111,0.444444444,0.511309993,0.111111111,0.323380833,0.055555556,0.23570226,0.055555556,0.23570226,0.055555556,0.23570226,0.0,0.0,0.0,0.0
01184.jpg,3.8333333333333335,0.277777778,0.460888599,0.055555556,0.23570226,0.055555556,0.23570226,0.388888889,0.501631326,0.277777778,0.460888599,0.0,0.0,0.0,0.0
0959.jpg,3.388888888888889,0.055555556,0.23570226,0.111111111,0.323380833,0.0,0.0,0.722222222,0.460888599,0.166666667,0.383482494,0.055555556,0.23570226,0.0,0.0
01176.jpg,3.111111111111111,0.277777778,0.460888599,0.666666667,0.48507125,0.5,0.514495755,0.0,0.0,0.111111111,0.323380833,0.222222222,0.427792632,0.166666667,0.383482494
35_20_02.bmp,2.2222222222222223,0.166666667,0.383482494,0.611111111,0.501631326,0.277777778,0.460888599,0.166666667,0.383482494,0.0,0.0,0.0,0.0,0.0,0.0
28_19_03.bmp,2.7777777777777777,0.111111111,0.323380833,0.555555556,0.511309993,0.277777778,0.460888599,0.055555556,0.23570226,0.222222222,0.427792632,0.055555556,0.23570226,0.0,0.0
